City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,syktyvkar,61.6764,50.8099,266.0,85,100,4.02,RU,1706070110
405,boksitogorsk,59.474,33.8485,274.04,97,100,5.02,RU,1706070110
406,boca suno,-0.7167,-77.1333,295.87,85,22,1.21,EC,1706070110
407,dryden,49.7833,-92.7503,269.31,93,100,5.66,CA,1706070111
408,sao gabriel da cachoeira,-0.1303,-67.0892,297.86,84,56,0.81,BR,1706070111
409,fort mcmurray,56.7268,-111.381,262.92,79,100,3.09,CA,1706070111
410,peace river,56.2501,-117.286,260.32,85,100,2.06,CA,1706070038
411,al kharj,24.155,47.3346,290.47,37,2,4.44,SA,1706070111
412,semdinli,37.3051,44.5742,276.17,99,99,2.14,TR,1706070111
413,kavieng,-2.5744,150.7967,299.26,89,100,7.33,PG,1706070112
414,tanumah,27.1,44.1333,289.52,41,65,1.75,SA,1706070112
415,sorong,-0.8833,131.25,301.82,72,98,2.19,ID,1706070112
416,andalgala,-27.5819,-66.3165,292.0,64,6,1.63,AR,1706070043
417,tadine,-21.55,167.8833,300.74,70,100,4.47,NC,1706070112
418,estreito,-5.7833,-43.25,295.62,99,63,1.35,BR,1706070112
419,ludvika,60.1496,15.1878,273.04,97,100,4.22,SE,1706069930
420,shingu,33.7333,135.9833,277.21,52,58,7.89,JP,1706070112
421,alpine,32.835,-116.7664,285.14,92,75,1.34,US,1706070112
422,dwarka,22.2394,68.9678,295.26,57,1,4.43,IN,1706070113
423,khilok,51.3674,110.4676,260.46,68,5,1.11,RU,1706070113
424,tura,25.5198,90.2201,293.57,39,0,0.88,IN,1706070113
425,haldia,22.0605,88.1097,293.38,33,98,2.65,IN,1706070113
